"KE","KEName","KEID","KEDescription"
"https://identifiers.org/aop.events/1000","stabilization, PPAR alpha co-repressor","KE 1000","The transcription co-repressors, silencing mediator for retinoid and thyroid hormone receptors (SMRT) and nuclear receptor co-repressor (N-CoR) have been observed to compete with transcriptional co-activators for binding to nuclear receptors (including PPAR&alpha;) thus suppressing basal transcriptional activity (Nagy et al 1999, Xu et al 2002).  Binding motifs for the co-repressors and co-activators to PPAR&alpha; have been observed to be conserved, however the co-repressor blocks the AF-2 helix from adopting the active conformation, as demonstrated in x-ray crystallography results presented in Xu et al (2002).  PPAR&alpha; agonists and antagonists have been developed to selectively enhance co-activator or co-repressor binding, respectively (Xu et al 2001, Xu et al 2002).  Regarding the present key event, the prior binding of a PPAR&alpha; antagonists such as GW6471 can stabilize the binding of the co-repressors to the PPAR&alpha; signaling complex suppressing nuclear signaling and thus downstream transcription of PPAR&alpha;-regulated genes.  Additionally, a natural human variant (V227A) in the hinge region of PPAR&alpha; has been demonstrated to stabilize PPAR&alpha;/N-CoR interactions resulting in inhibited transactivation of downstream genes in hepatic cells (Liu et al 2008) which can ultimately lead to measurable phenotypic effects of decreased blood triglycerides (Chan et al 2016).  The Liu et al (2008) study also demonstrated that the transactivation activity in the V227A variant could be restored when N-CoR was silenced.

Wilbanks et al. (2014) and Gust et al (2015) demonstrated inhibition of human PPAR&alpha; nuclear signaling in in vitro nuclear signaling bioassays in response to 2,4-dinitrotoluene(2,4-DNT) and 2-amino-4,6-dinitrotoluene (2A-DNT), respectively.  However, it is unknown if this response was manifested through the co-repressor binding stabilization that was identified in Xu et al (2002)."
"https://identifiers.org/aop.events/1002","Inhibition, Deiodinase 2","KE 1002","Disruption of the thyroid hormone system is increasingly being recognized as an important toxicity pathway, as it can cause many adverse outcomes. Thyroid hormones do not only play an important role in the adult individual, but they are also critical during embryonic development. Thyroid hormones (THs) play an important role in a wide range of biological processes in vertebrates including growth, development, reproduction, cardiac function, thermoregulation, response to injury, tissue repair and homeostasis. Numerous chemicals are known to disturb thyroid function, for example by inhibiting thyroperoxidase (TPO) or deiodinase (DIO), upregulating excretion pathways or modifying gene expression. The two major thyroid hormones are triiodothyronine (T3) and thyroxine (T4), both iodinated derivatives of tyrosine. Most TH actions depend on the binding of T3 to its nuclear receptors. Active and inactive THs are tightly regulated by enzymes called iodothyronine deiodinases (DIO). The activation occurs via outer ring deiodination (ORD), i.e. removing iodine from the outer, phenolic ring of T4 to form T3, while inactivation occurs via inner ring deiodination (IRD), i.e. removing iodine from the inner tyrosol ring of T4 or T3.

Three types of iodothyronine deiodinases (DIO1-3) have been described in vertebrates that activate or inactivate THs and are therefore important mediators of TH action. All deiodinases are integral membrane proteins of the thioredoxin superfamily that contain selenocysteine in their catalytic centre. Type I deiodinase is capable to convert T4 into T3, as well as to convert reverse T3 (rT3) to 3,3&#39;-Diiodothyronine (3,3&rsquo; T2), through outer ring deiodination. rT3, rather than T4, is the preferred substrate for DIO1. furthermore, DIO1 has a very high Km (&micro;M range, compared to nM range for DIO2) (Darras and Van Herck, 2012). Type II deiodinase (DIO2) is only capable of ORD activity with T4 as a preferred substrate (i.e., activation of T4 to T3). DIO3 can inner ring deiodinate T4 and T3 to the inactive forms of THs,  rT3 and 3,3&rsquo;-T2 respectively. DIO2 is a transmembrane protein anchored to the endoplasmic reticulum and the active site faces the perinuclear cytosol. The relative contribution of the DIOs to thyroid hormone levels varies amongst species, developmental stages and tissues."
"https://identifiers.org/aop.events/1003","Decreased, Triiodothyronine (T3)","KE 1003","There are two biologically active thyroid hormones (THs), triiodothyronine (T3) and thyroxine (T4), and a few less active iodothyronines (rT3, 3,5-T2), which are all derived from the modification of tyrosine molecules (Hulbert, 2000). However, the plasma concentrations of the other iodothyronines are significantly lower than those of T3 and T4. The different iodothyronines are formed by the sequential outer or inner ring monodeiodination of T4 and T3 by the deiodinating enzymes, Dio1, Dio2, and Dio3 (Gereben et al., 2008). Deiodinase structure is considered to be unique, as THs are the only molecules in the body that incorporate iodide.

The circulatory system serves as the major transport and delivery system for THs from synthesis in the gland to delivery to tissues. The majority of THs in the blood are bound to transport proteins (Bartalena and Robbins, 1993). In humans, the major transport proteins are TBG (thyroxine binding globulin), TTR (transthyretin) and albumin. The percent bound to these proteins in adult humans is about 75, 15 and 10 percent, respectively (Schussler 2000). Unbound (free) hormones are approximately 0.03 and 0.3 percent for T4 and T3, respectively. In serum, it is the free form of the hormone that is active.

There are major species differences in the predominant binding proteins and their affinities for THs (see section below on Taxonomic applicability). However, there is broad agreement that changes in concentrations of THs is diagnostic of thyroid disease or chemical-induced disruption of thyroid homeostasis (Zoeller et al., 2007).

It is notable that the changes measured in the free TH concentration reflect mainly the changes in the serum transport proteins rather than changes in the thyroid status. These thyroid-binding proteins serve as hormonal storage which ensures their even and constant distribution in the different tissues, while they protect the most sensitive ones in the case of severe changes in thyroid availability, like in thyroidectomies (Obregon et al., 1981). Initially, it was believed that all of the effects of TH were mediated by the binding of T3 to the thyroid nuclear receptors (TRa and TRb), a notion which is now questionable due to the increasing evidence that support the non-genomic action of TH (Davis et al., 2010, Moeller et al., 2006). Many non-nuclear TH binding sites have been identified to date and they usually lead to rapid cellular response in TH-effects (Bassett et al., 2003). Four types of thyroid hormone signaling have been defined (Anyetei-Anum et al., 2018): type 1 is the canonical pathway in which liganded TR binds directly to DNA; type 2 describes liganded TR tethered to chromatin-associated proteins, but not bound to DNA directly; type 3 suggests that liganded TR can exert its function without recruitment to chromatin in either the nucleus or cytoplasm; and type 4 proposes that thyroid hormone acts at the plasma membrane or in the cytoplasm without binding TR, a mechanism of action that is emerging as a key component of thyroid hormone signaling.

The production of THs in the thyroid gland and the circulation levels in the bloodstream are self-controlled by an efficiently regulated feedback mechanism across the Hypothalamus-Pituitary-Thyroid (HPT) axis. TH levels are regulated, not only in the plasma level, but also in the individual cell level, to maintain homeostasis. This is succeeded by the efficient regulatory mechanism of the thyroid hormone axis which consists of the following: (1) the hypothalamic secretion of the thyrotropin-releasing hormone (TRH), (2) the thyroid-stimulating hormone (TSH) secretion from the anterior pituitary, (3) hormonal transport by the plasma binding proteins, (4) cellular uptake mechanisms in the cell level, (5) intracellular control of TH concentration by the deiodinating mechanism (6) transcriptional function of the nuclear thyroid hormone receptor and (7) in the fetus, the transplacental passage of T4 and T3 (Cheng et al., 2010).

In regards to the brain, the TH concentration involves also an additional level of regulation, namely the hormonal transport through the Blood Brain Barrier (BBB) (Williams, 2008). The TRH and the TSH regulate the production of thyroid hormones. Less T3 (the biologically more active TH) than T4 is produced by the thyroid gland. The rest of the required amount of T3 is produced by outer ring deiodination of T4 by the deiodinating enzymes D1 and D2 (Bianco et al., 2006), a process which takes place mainly in liver and kidneys but also in other target organs such as in the brain, the anterior pituitary, brown adipose tissue, thyroid and skeletal muscle (Gereben et al., 2008; Larsen, 2009). Both hormones exert their action in almost all tissues of mammals and they are acting intracellularly, and thus the uptake of T3 and T4 by the target cells is a crucial step of the overall pathway. The trans-membrane transport of TH is performed mainly through transporters that differ depending on the cell type (Hennemann et al., 2001; Friesema et al., 2005; Visser et al., 2008). Many transporter proteins have been identified to date. The monocarboxylate transporters (Mct8, Mct10) and the anion-transporting polypeptide (OATP1c1) show the highest degree of affinity towards TH (Jansen et al., 2005) and mutations in these genes have pathophysiological effects in humans (Bernal et al., 2015). Unlike humans with an MCT8 deficiency, MCT8 knockout mice do not have neurological impairment. One explanation for this discrepancy could be differences in expression of the T4 transporter OATP1C1 in the blood&ndash;brain barrier. This shows that cross-species differences in the importance of specific transporters may occur.

T3 and T4 have significant effects on normal development, neural differentiation, growth rate and metabolism (Yen, 2001; Brent, 2012; Williams, 2008), with the most prominent ones to occur during the fetal development and early childhood. The clinical features of hypothyroidism and hyperthyroidism emphasize the pleiotropic effects of these hormones on many different pathways and target organs. The thyroidal actions though are not only restricted to mammals, as their high significance has been identified also for other vertebrates, with the most well-studied to be the amphibian metamorphosis (Furlow and Neff, 2006). The importance of the thyroid-regulated pathways becomes more apparent in iodine deficient areas of the world, where a higher rate of cretinism and growth retardation has been observed and linked to decreased TH levels (Gilbert et al., 2012). Another very common cause of severe hypothyroidism in human is the congenital hypothyroidism, but the manifestation of these effects is only detectable in the lack of adequate treatment and is mainly related to neurological impairment and growth retardation (Glinoer, 2001), emphasizing the role of TH in neurodevelopment in all above cases. In adults, the thyroid-related effects are mainly linked to metabolic activities, such as deficiencies in oxygen consumption, and in the metabolism of the vitamin, proteins, lipids and carbohydrates, but these defects are subtle and reversible (Oetting and Yen, 2007). Blood tests to detect the amount of thyroid hormone (T4) and thyroid stimulating hormone (TSH) are routinely done for newborn babies for the diagnosis of congenital hypothyroidism at the earliest stage possible.

Although the components of the thyroid hormone system as well as thyroid hormone synthesis and action are highly conserved across vertebrates, there are some taxon-specific considerations.

Although the HPT axis is highly conserved, there are some differences between fish and mammals (Blanton and Specker, 2007; Deal and Volkoff, 2020). For example, in fish, corticotropin releasing hormone (CRH) often plays a more important role in regulating thyrotropin (TSH) secretion by the pituitary and thus thyroid hormone synthesis compared to TSH-releasing hormone (TRH). TTRs from fish have low sequence identity with human TTR, for example seabream TTR has 54% sequence identity with human TTR but the only amino acid difference within the thyroxine-binding site is the conservative substitution of Ser117 in human TTR to Thr117 in seabream TTR (Santos and Power, 1999; Yamauchi et al., 1999; Eneqvist et al., 2004). In vitro binding experiments showed that TH system disrupting chemicals bind with equal or weaker affinity to seabream TTR than to the human TTR with polar TH disrupting chemicals, in particular, showing a more than 500-fold lower affinity for seabream TTR compared to human TTR (Zhang et al., 2018).

Zebrafish and fathead minnow are oviparous fish species in which maternal thyroid hormones are transferred to the eggs and regulate early embryonic developmental processes during external (versus intra-uterine in mammals) development (Power et al., 2001; Campinho et al., 2014; Ruuskanen and Hsu, 2018) until embryonic thyroid hormone synthesis is initiated. Maternal transfer of thyroid hormones, both T4 and T3, to the eggs has been demonstrated in zebrafish (Walpita et al., 2007; Chang et al., 2012) and fathead minnows (Crane et al., 2004; Nelson et al., 2016).

Several studies have reported evidence of T3 decreases after exposure to TPO inhibitors and deiodinase inhibitors in early life stages of zebrafish (Stinckens et al., 2016; Stinckens et al., 2020; Wang et al., 2020) and fathead minnow (Nelson et al., 2016; Cavallin et al., 2017)."
"https://identifiers.org/aop.events/1009","Inhibition, Deiodinase 1","KE 1009","Disruption of the thyroid hormone system is increasingly being recognized as an important toxicity pathway, as it can cause many adverse outcomes. Thyroid hormones do not only play an important role in the adult individual, but they are also critical during embryonic development. Thyroid hormones (THs) play an important role in a wide range of biological processes in vertebrates including growth, development, reproduction, cardiac function, thermoregulation, response to injury, tissue repair and homeostasis. Numerous chemicals are known to disturb thyroid function, for example by inhibiting thyroperoxidase (TPO) or deiodinase (DIO), upregulating excretion pathways or modifying gene expression. The two major thyroid hormones are triiodothyronine (T3) and thyroxine (T4), both iodinated derivatives of tyrosine. Most TH actions depend on the binding of T3 to its nuclear receptors. Active and inactive THs are tightly regulated by enzymes called iodothyronine deiodinases (DIO). The activation occurs via outer ring deiodination (ORD), i.e. removing iodine from the outer, phenolic ring of T4 to form T3, while inactivation occurs via inner ring deiodination (IRD), i.e. removing iodine from the inner tyrosol ring of T4 or T3.

Three types of iodothyronine deiodinases (DIO1-3) have been described in vertebrates that activate or inactivate THs and are therefore important mediators of TH action. All deiodinases are integral membrane proteins of the thioredoxin superfamily that contain selenocysteine in their catalytic centre. Type I deiodinase is capable of both ORD and IRD, including the conversion of T4 into T3, as well as the conversion of reverse T3 (rT3) to 3,3&#39;-Diiodothyronine (3,3&rsquo; T2). rT3, rather than T4, is the preferred substrate for DIO1. furthermore, DIO1 has a very high Km (&micro;M range, compared to nM range for DIO2) (Darras and Van Herck, 2012). Type II deiodinase (DIO2) is only capable of ORD activity with T4 as a preferred substrate (i.e., activation of T4 to T3). DIO3 can inner ring deiodinate T4 and T3 to the inactive forms of THs, rT3 and 3,3&rsquo;-T2 respectively. DIO1 is a plasma membrane protein with its catalytic domain facing the cytosol. The relative contribution of the DIOs to thyroid hormone levels varies amongst species, developmental stages and tissues."
"https://identifiers.org/aop.events/1046","Suppression, Estrogen receptor (ER) activity","KE 1046","Estrogen receptors are produced in all vertebrates and located in either the cell cytoplasm or nucleus(Bondesson et al., 2015; Eick and Thornton, 2011). Estrogen receptors are localized either in cytoplasm, or on the cell surface.

 

Site of action: Stressors (e.g., clomiphene) act on neuronal cell in the hypothalamus, where it inhibits hypothalamic Estrogen Receptors selectively.

Responses at the macromolecular level: Stressors activate the Estrogen Receptor &alpha; in the presence of lower level of estrogen and partially blocks the same for higher level of estrogen and works as antagonist for the Estrogen Receptor &beta;(Trost and Khera, 2014). Stressors appear to act in the brain&#39;s pituitary gland to secrete an increased amount of gonadotropins hormone (GnRH) in hypothalamus leading towards increased GnRH level in blood. 

Estrogen Receptor &alpha;: ER&alpha; (Estrogen Receptor &alpha; or NR3A1 or ESR1) - A nuclear receptor and it is activated by the estrogen (sex hormone). Estrogen located at chromosome number 6 ( 6q25.1)

Estrogen Receptor &beta;:  ER&beta; (Estrogen Receptor &beta; or NR3A2 or  ESR2) &ndash; This is also nuclear receptor and  activated by the sex hormone estrogen which is located at chromosome number 14 (14q23.2). I ER&beta; has  both N-terminal has DNA binding domain and C-terminal has ligand binding domain. This  is localized to the nucleus, cytoplasm, and mitochondria. Selective estrogen receptor modulators (SERM) inhibits the ER&beta;. Drugs used as SERM are clomiphene, tamoxifen, raloxifene etc.

Biological compartments:  Estrogen receptors (ER) are present in the plasma membrane. Both ER&alpha; and ER&beta; have diverse functions depending on cells and organs. ERs have also been loacated in cytoplasmic organelles including mitochondria and the endoplasmic reticulum(Levin, 2009).  

General role in biology: Estrogen receptors (both estrogen receptor alpha (ER&alpha;) and estrogen receptor beta (ER&beta;) binds the estrogens to promote the the biological functions of estrogens. Depending upon a balance between ER&alpha; and ER&beta; activities in target organs, estrogen signaling is selectively stimulated or inhibited (Welboren et al., 2009). ER&beta; has a high degree of sequence homology with the classical estrogen receptor. Interestingly, ER&beta; is detected in many tissues, including those previously assumed to be estrogen insensitive. In tissues where both ERs are expressed, such as the hypothalamus, uterus, mammary glands, and immune system, ER&alpha; promotes proliferation whereas ER&beta; has pro-apoptotic and pro-differentiating functions(Morani et al., 2008). ER&alpha; is present mainly in ovary (thecal cells) where as ER&beta; is found mainly in  ovary (granulosa cells)(Paterni et al., 2014). ER&alpha; and ER&beta; is identical approximately 97% in the DNA-binding domain and approximately 56% in the ligand-binding domain(Dahlman-Wright et al., 2006)."
"https://identifiers.org/aop.events/105","Inhibition, Mitochondrial Electron Transport Chain Complexes","KE 105","The electron transport chain, otherwise known as the respiratory chain, is composed of large protein complexes (CI, CII, CIII, CIV, CV) and two freely mobile electron transfer carriers, ubiquinone and cytochrome c, which are embedded in the inner membrane cristae of the mitochondria (Zhao et al., 2019). Three of these complexes (CI, CIII, CIV; NADH dehydrogenase, cytochrome c reductase, and cytochrome c oxidase, respectively) act as proton pumps and contribute to the formation of an electrochemical proton gradient across the inner mitochondrial membrane, which then drives ATP synthesis by complex V (ATP synthase) (Alberts et al., 2014). In eukaryotes, the electron transport chain is the major site of ATP production via oxidative phosphorylation. Superoxides (O2‑) are generated in low quantities as by-products of oxidative phosphorylation during electron transfer. The O2‑ released into the inter-membrane space (IMS) by CIII can be converted into H2O2 in a reaction catalyzed by superoxide dismutase 1 and H2O2 then may diffuse into the cytoplasm (Zhao et al., 2019). Superoxides behave as signalling molecules important in cell proliferation, hypoxia adaption, and cell fate determination but when present in excess or unregulated, induce cell damage and death.

While it is well known that heavy metals target the mitochondria, the exact mechanism of this targeting and inhibition is poorly understood (Belyaeva et al., 2012; Gobe &amp; Crane, 2010). Respiratory complexes CI and CIII are shown to be particularly susceptible to perturbation by heavy metals such as chromium and cadmium (Adiele et al., 2012; Santos et al., 2007). In addition, Uranyl Acetate (UA) induced nephrotoxicity has been linked to the impairment of CII and CIII leading to inhibition of the mitochondrial electron transport chain (Shaki et al., 2012; Shaki &amp; Pourahmad, 2013). 

Several studies have been conducted in order to understand the exact mechanisms of inhibition by heavy metals. They show that these divalent cations bind to electron transport chain enzyme complexes and modify them, disturbing electron transfer and redox reactions (Blajszczak &amp; Bonini, 2017). For example, rotenone blocks Complex I (Li et al., 2003) and cadmium has the capability to noncompetitively inhibit CIII (Wang et al., 2004). This blocking and inhibition interrupts the transport of electrons through the respiratory chain, specifically resulting in the increase of semiubiquinone formation and subsequently the generation of mitochondrial superoxides (Li et al., 2003). Shaki et al. (2012) have shown, as well, that uranyl acetate (UA) interferes with CII and CIII activity. Function of the electron transport chain can also be suppressed by indirect effects of heavy metals: cisplatin causes oxidative damage of mitochondrial membrane lipids such as cardiolipin, impacting mitochondrial membrane potential (MMP). This lipid is responsible for maintaining the inner mitochondrial membrane structure and linking CIII and CIV in a super complex through which protons and electrons move, producing ATP (Santos et al., 2007). Cardiolipin function is therefore vital and its disruption results in inhibition of  mitochondrial integrity and function. 

The inhibition of the electron transport chain initiates a sequence of events in the mitochondria, including: overproduction of reactive oxygen species (ROS); a reduced ability for oxidative phosphorylation and therefore decreased ATP synthesis; a lowered ATP/ADP ratio; the release of cytochrome c from the mitochondrial cristae; and the collapse of mitochondrial membrane potential (MMP) (Shaki et al., 2012; Adiele et al., 2012). All of these occurrences contribute to overall mitochondrial dysfunction and more adverse outcomes."
"https://identifiers.org/aop.events/110","Impairment, Endothelial network","KE 110","In embryological terms, the angiogenic cycle entails a stepwise progression of formation, maturation, and stabilization of the microvasculature [Hanahan, 1997; Drake et al. 2007; Chung and Ferrara 2011; Knudsen and Kleinstreuer, 2011; Coultas et al. 2005; Huang, 2020]. This level of impairment of blood vessel morphogenesis best maps to Gene Ontology (GO) annotations: GO:001885 for &lsquo;endothelial cell development&rsquo;, which is defined as &ldquo;The progression of an endothelial cell over time, from its formation to the mature structure&rdquo;; and/or GO:0045601 for &lsquo;regulation of endothelial cell differentiation&rsquo;, defined as &ldquo;Any process that stops, prevents, or reduces the frequency, rate or extent of endothelial cell differentiation&rdquo;. The numbers of curated genes associated with these categories in the MGI database (http://www.informatics.jax.org/vocab/gene_ontology/) are 75 genes and 44 genes, respectively, for a total of 97 genes altogether. In addition, pericyte-endothelial interactions are indispensable for maturation and stabilization via broader signaling pathways (eg, VEGFA, PDGFB, Notch-DLL4, AGPNT, Norrin, TGF-&beta;) that have been characterized during patterning neovascularization [Azam et al. 2018; Huang, 2020]. Neovascular stabilization is an active process that requires specific cellular signaling, including pro-angiogenic pathways such as VEGF and FGF, angiopoietin-Tie2 for endothelial cell survival and junction stabilization, PDGF and TGF-&beta; signaling that modify mural cell (pericytes, vascular smooth muscle cells) functions to fortify vessel integrity [Murakami, 2012]. Breakdown of these signaling systems results in pathological hyperpermeability and/or genetic vascular abnormalities such as vascular malformations, ultimately progressing to hemorrhage and edema. Vascular mural cells are recruited to the endothelial network by endothelial cell signals [Sinha and Santoro, 2018]. A number of anti-angiogenic compounds, including Vatalanib and Thalidomide, have been shown to impair neovascularization during developmental angiogenesis [Tran et al. 2007; Therapontos et al. 2009; Jang et al. 2009; Rutland et al. 2009; Tal et al. 2014; Vargesson, 2015; Beedie et al. 2016; Ellis-Hutchings et al. 2017; Kotini et al. 2020]. In exposed zebrafish embryos, early effects of potential vascular disrupting chemicals (pVDCs) invoke changes to the anatomical development of intersegmental vessels from the dorsal aorta [Tran et al. 2007; Tal et al. 2014; McCollum et al. 2017]. Thalidomide, for example, has been shown to primarily disrupt immature vascular networks versus more mature vasculature in the embryo [Therapontos et al. 2009; Beedie et al. 2016a, 2016b, 2017]. Evidence for KE:110 in human studies is indirect, based on the association of malformations with altered vascular patterns and exposure to anti-angiogenic drugs in women of reproductive potential or during pregnancy [Husain et al. 2008; van Gelder et al. 2010; Gold et al. 2011; Ligi et al. 2014; Vargesson and Hootnick, 2017]. Key nodes in the ontogenetic regulation of angiogenesis have been investigated with human cell-based high-throughput assay (HTS) platforms in ToxCast to screen for pVDCs acting on the formation, maturation and/or stabilization of endothelial networks [Houck et al. 2009; Knudsen et al. 2011; Kleinstreuer et al. 2014; Saili et al. 2019; Zurlinden et al. 2020]."
"https://identifiers.org/aop.events/1101","Altered, Amphibian metamorphosis","KE 1101","Vertebrate metamorphosis is a biological transformation process that transitions an organism from one life stage to another; it is defined by growth of new tissues, programmed death of other tissues and physiological transformation of yet other tissues (Laudet, 2011; Brown and Cai, 2007). In the case of most amphibians, metamorphosis mediates the transition from aquatic to terrestrial life, while in bony and jawless fish, metamorphosis mediates transitions between life stages that offer various advantages for survival and reproduction. In vertebrates, metamorphosis is orchestrated by the hypothalamus-pituitary-thyroid (HPT) axis involving complex timing of gene expression/repression within various tissues, whereas in some cases across taxonomic classes, metamorphosis has been shown to be controlled very differently by the HPT axis.

Thyroid hormone-mediated amphibian metamorphosis can be characterized by three phases during larval development: (1) pre-metamorphosis, (2) pro-metamorphosis and (3) metamorphic climax. All three of these phases coincide with activity states of the HPT axis. Pre-metamorphosis is characterized by a fully aquatic organism with low-level function of the thyroid gland and very low circulating levels of thyroid hormone. Pro-metamorphosis is characterized by the onset of full thyroid axis function and the initiation of rising levels of thyroid hormone in the plasma, with consequential changes in anatomy and physiology defining the transition from aquatic to terrestrial life. Metamorphic climax occurs when circulating thyroid hormone levels peak, which subsequently decrease to levels maintained homeostatically as adults. This climax period also represents the time at which all anatomical and physiological changes induced by thyroid hormone have either been initiated or are already completed. Detailed descriptions of these processes are reviewed by Brown and Cai (2007).

Altered metamorphosis occurs when these thyroid hormone-mediated processes are perturbed, primarily during pro-metamorphosis and metamorphic climax. These perturbations can lead to either, delayed/arrested development, accelerated development or asynchronous development depending on the xenobiotic mode of action or MIE. Genetic defects or xenobiotic exposure that reduce thyroid hormone synthesis can delay metamorphosis, and in extreme cases, can completely arrest development. The most profound impacts on TH-mediated metamorphosis have be demonstrated through inhibition of key proteins in the TH synthesis pathway including the sodium-iodide symporter (Tietge et al., 2005, 2010; Hornung et al., 2010) and thyroperoxidase (Degitz et al., 2005; Tietge et al., 2010, 2013; Hornung et al., 2010, 2015). Alternatively, agonism of the thyroid axis through inhibition of negative feedback at the level of the hypothalamus-pituitary, or premature activation of thyroid receptor-mediated transcription can accelerate metamorphosis (Degitz et al., 2005), which can lead to asynchronous development due to errors in gene expression timing across the various metamorphic tissues. Asynchronous development can also occur due to inhibition of deiodinase (DIO) enzymes in peripheral tissues. DIO enzymes are responsible for activation and catabolism of TH; when dio gene expression profiles are altered, or the enzymes themselves undergo chemical inhibition, the imbalance of prohormone (T4), active hormone (T3) and inactive hormone (rT3, T2) can cause aberrant tissue development."
"https://identifiers.org/aop.events/1108","Abnormal, Role change within caste","KE 1108","Text from LaLone et al. (2017) Weight of evidence evaluation of a network of adverse outcome pathways linking activaiton of the nicotinic acetylcholine receptor in honey bees to colony death. Science of the Total Environment 584-585, 751-775:

&quot;Like most eusocial insects, honey bees exhibit age-based division of
labor and progress from nurse to forager as they age (Seeley, 1982).
This type of age-related behavioral change termed age polyethism, is a
genomically, nutritionally, and hormonally controlled process (Ament
et al., 2010; Cheng et al., 2015). Such behavior changes in adult worker
bees occur in a predictable sequence as theymove fromcentrally located
in-hive activities including cleaning brood cells (0&ndash;5 d old), to feeding
brood, capping brood, trimming cappings, and attending the queen
(2&ndash;11 d old), to peripherally located in-hive activities, such as grooming
nest-mates, feeding nest-mates, ventilating the hive, producing wax
and shaping comb cells, receiving and storing nectar, packing pollen,
and processing nectar into honey and pollen into bee bread (11&ndash;20 d
old), to outside activities, including guarding the hive and foraging
(20+ d old) (Seeley, 1982). However, honey bees exhibit phenotypic
plasticity whereby the rate of behavioral change is highly flexible,
meaning that under different scenarios, based on colony needs, bees
will accelerate or reverse their behavioral development. For example,
to compensate for a loss of foragers, disease, or nutritional stress, bees
will initiate precocious (early behavioral development) foraging
(Cheng et al., 2015; Huang and Robinson, 1996). It is biologically plausible
that early initiation of foraging could lead to a shortage of hive bees
needed to tend to the brood, which could hinder development of the
brood. In addition, precocious foraging is correlated with shorter
lifespans. Therefore, bees that forage earlier tend to do so at the expense
of their longevity which could impact overall colony resource acquisition
and productivity (Woyciechowski and Moroń, 2009). However,
the relationship may be complex given that with seasonal variation,
food availability, predation pressures, and adverse weather conditions
that promote greater in-hive activity, older foragers can reverse their
behavior, regenerate hypopharyngeal glands, and assume roles within
the hive (Huang and Robinson, 1996).
Behavioral plasticity is driven, in part, by juvenile hormone (JH) and
its interplay with Vtg, acting together in a feed-back loop to control the
onset of labor tasks, such as foraging (Page et al., 2012). For example,
high Vtg levels suppress JH, delaying onset of foraging behavior,whereas
high JH suppresses Vtg, causing a decrease in nursing behavior (Page
et al., 2012). Studies exploring drivers of precocious foraging, using both
treatment with a JH analog and social manipulation of a single-cohort
colony of 1 d old bees in the absence of older foragers, induced precocious
foraging, demonstrating that both hormonal and social interactions
play a role (Chang et al., 2015; Perry et al., 2015). Active foragers
produce a pheromone, ethyl oleate, which is transferred to the hive
bees during trophallaxis or oral food exchange, delaying the rate at
which bees transition to foraging. Therefore, if the number of foragers
diminishes, recruitment to foraging can be accelerated. Additionally,
allatectomy (removal of the corpora allata glands that produce JH) led
to the discovery that JH is involved in modulating the speed at which
bees develop into foragers, but not in activation of foraging itself
(Sullivan et al., 2003). However, studies using ribonucleic acid

interference (RNAi) to knockdown Vtg production have found the protein
to have a prominent role in the initiation of honey bee foraging,
causing an increase in JH titer and extreme precocious foraging (3 d
old bees) (Guidugli et al., 2005; Marco Antonio et al., 2008).
Vitellogenin is synthesized in fat body cells, released to the hemolymph
(circulation), and taken up in developing oocytes (Corona et al.,
2007). Mature honey bee queens, which lay ~1000 eggs/day, continuously
synthesize Vtg at high levels, including during periods when egg
laying ceases (Seehuus et al., 2006; Corona et al., 2007). However, in
sterile worker bees, Vtg levels have been shown to change throughout
their lives, with the highest levels observed in the long-lived winter
bees and lowest in the short-lived summer foragers (M&uuml;nch et al.,
2015). In addition to the role Vtg plays as an egg yolk protein, it has a
role in oxidative stress resistance (Corona et al., 2007; Seehuus et al.,
2006; Amdam et al., 2004).&quot;"
"https://identifiers.org/aop.events/1115","Increased, Reactive oxygen species","KE 1115","Biological State: increased reactive oxygen species (ROS)

Biological compartment: an entire cell -- may be cytosolic, may also enter organelles.

Reactive oxygen species (ROS) are O2- derived molecules that can be both free radicals (e.g. superoxide, hydroxyl, peroxyl, alcoxyl) and non-radicals (hypochlorous acid, ozone and singlet oxygen) (Bedard and Krause 2007; Ozcan and Ogun 2015). ROS production occurs naturally in all kinds of tissues inside various cellular compartments, such as mitochondria and peroxisomes (Drew and Leeuwenburgh 2002; Ozcan and Ogun 2015). Furthermore, these molecules have an important function in the regulation of several biological processes &ndash; they might act as antimicrobial agents or triggers of animal gamete activation and capacitation (Goud et al. 2008; Parrish 2010; Bisht et al. 2017). 
However, in environmental stress situations (exposure to radiation, chemicals, high temperatures) these molecules have its levels drastically increased, and overly interact with macromolecules, namely nucleic acids, proteins, carbohydrates and lipids, causing cell and tissue damage (Brieger et al. 2012; Ozcan and Ogun 2015)."
