id,labels,ChemicalName,ChemicalCAS,SMILES,InChIKey,type
Q1,:Chemical,aflatoxin B1,,COC1=C2C3=C(C(=O)CC3)C(=O)OC2=C4[C@@H]5C=CO[C@@H]5OC4=C1,OQIQSTLJSLGHID-WNWIJWBNSA-N,
Q31,:Chemical,dirlotapide,,CN1C2=C(C=C(C=C2)NC(=O)C3=CC=CC=C3C4=CC=C(C=C4)C(F)(F)F)C=C1C(=O)N[C@@H](C5=CC=CC=C5)C(=O)N(C)CC6=CC=CC=C6,TUOSYWCFRFNJBS-BHVANESWSA-N,
Q35,:Chemical,methotrexate,,CN(CC1=CN=C2C(=N1)C(=NC(=N2)N)N)C3=CC=C(C=C3)C(=O)N[C@@H](CCC(=O)O)C(=O)O,FBOZXECLQNJBKD-ZDUSSCGKSA-N,
Q37,:Chemical,rifampicin,,C[C@H]1/C=C/C=C(\C(=O)NC2=C(C(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)OC)C)C)O)O)/C=N/N5CCN(CC5)C)/C,JQXXHWHPUNPDRT-WLSIYKJHSA-N,
Q38,:Chemical,rotenone,83-79-4,CC(=C)[C@H]1CC2=C(O1)C=CC3=C2O[C@@H]4COC5=CC(=C(C=C5[C@@H]4C3=O)OC)OC,JUVIOZPCNVVQFO-HBGVWJBISA-N,
Q40,:Chemical,tamoxifen,,CC/C(=C(\C1=CC=CC=C1)/C2=CC=C(C=C2)OCCN(C)C)/C3=CC=CC=C3,NKANXQFJJICGDU-QPLCGJKRSA-N,
Q46,:Chemical,doxorubicin,,C[C@H]1[C@H]([C@H](C[C@@H](O1)O[C@H]2C[C@@](CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O,AOJJSUZBOXZQNB-TZSSRYMLSA-N,
Q49,:Chemical,ochratoxin A,,C[C@@H]1CC2=C(C=C(C(=C2C(=O)O1)O)C(=O)N[C@@H](CC3=CC=CC=C3)C(=O)O)Cl,RWQKHEORZBHNRI-BMIGLBTASA-N,
Q217,:Chemical,"1-[(13Z,16Z)-docosadienoyl]-2-linoleoyl-sn-glycero-3-phospho-1D-myo-inositol",,CCCCC\C(=C(/C\C(=C(/CCCCCCCCCCCC(=O)OC[C@](COP(O)(=O)O[C@@]1([C@@]([C@@]([C@]([C@@]([C@]1(O)[H])(O)[H])(O)[H])(O)[H])(O)[H])[H])(OC(CCCCCCC\C(=C(/C\C(=C(/CCCCC)\[H])\[H])\[H])\[H])=O)[H])\[H])\[H])\[H])\[H],YMVJQMHRDDWISR-RTEKGICGSA-N,
Q218,:Chemical,"1-[(13Z,16Z)-docosadienoyl]-2-hexadecanoyl-sn-glycero-3-phospho-1D-myo-inositol",,CCCCC\C(=C(/C\C(=C(/CCCCCCCCCCCC(=O)OC[C@](COP(O)(=O)O[C@@]1([C@@]([C@@]([C@]([C@@]([C@]1(O)[H])(O)[H])(O)[H])(O)[H])(O)[H])[H])(OC(CCCCCCCCCCCCCCC)=O)[H])\[H])\[H])\[H])\[H],WCMFLJINGZIEAR-GBCMBGDPSA-N,
